facility_name,cms_facility_name,pfi_number,hospital_county,borough,primary_zip3,first_discharge_year,last_discharge_year,years_observed,patient_volume,hip_volume,knee_volume,avg_severity,observed_avg_los,expected_avg_los,oe_ratio_los,observed_adverse_pct,expected_adverse_pct,oe_ratio_adverse,clinical_oe,median_cash_price,median_negotiated_charge,facility_procedure_cost,cost_basis,pricing_code_system,payer_count,market_median_cost,pct_vs_market_median,clinical_multiplier,financial_multiplier,experience_modifier,value_index,clinical_only_index,value_rank,value_percentile,star_rating,data_status,match_method,crosswalk_reviewed,cms_complication_rate,cms_complication_vs_national,cms_readmission_rate,cms_readmission_vs_national,cms_overall_rating
BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,Brooklyn Hospital Center at Downtown Campus,1288,Kings,Brooklyn,112,2022,2024,3,218,77,141,1.872,3.61,2.61,1.381,63.30,21.66,2.922,2.009,,27562.15,27562.15,mrf_negotiated,MS-DRG,14,51393.61,-46.4,0.4978,1.8646,5.3891,2.490,2.682,25,40.0,2,complete,exact,True,4.600,No Different Than the National Rate,5.600,No Different Than the National Rate,2.000
BRONXCARE HOSPITAL CENTER,,1178,Bronx,Bronx,104,2022,2024,3,499,124,375,1.411,3.33,2.25,1.479,41.48,17.80,2.331,1.857,,,39083.58,sparcs_charge,,,53050.50,-26.3,0.5385,1.3574,6.2146,2.446,3.347,26,37.5,2,unmapped_facility,,False,4.400,No Different Than the National Rate,6.100,No Different Than the National Rate,1.000
JAMAICA HOSPITAL MEDICAL CENTER,Jamaica Hospital Medical Center,1629,Queens,Queens,114,2022,2024,3,139,38,101,1.137,2.71,2.03,1.333,46.76,15.49,3.019,2.006,,27898.30,27898.30,mrf_negotiated,MS-DRG,29,51393.61,-45.7,0.4985,1.8422,4.9416,2.262,2.463,27,35.0,2,complete,exact,True,4.300,No Different Than the National Rate,5.100,No Different Than the National Rate,1.000
MOUNT SINAI MORNINGSIDE,,1469,Manhattan,Manhattan,100,2022,2024,3,98,10,88,1.235,2.95,2.11,1.394,19.39,16.21,1.196,1.291,,,80345.86,sparcs_charge,,,53050.50,51.5,0.7746,0.6603,4.5951,1.820,3.559,28,32.5,2,unmapped_facility,,False,,,,,
UNIVERSITY HOSPITAL OF BROOKLYN,,1320,Kings,Brooklyn,112,2022,2024,3,192,67,125,1.833,3.84,2.61,1.472,32.81,21.63,1.517,1.494,,,72958.83,sparcs_charge,,,53050.50,37.5,0.6693,0.7271,5.2627,1.714,3.523,29,30.0,2,unmapped_facility,,False,3.100,No Different Than the National Rate,5.400,No Different Than the National Rate,1.000
KINGS COUNTY HOSPITAL CENTER,,1301,Kings,Brooklyn,112,2022,2024,3,217,52,165,1.346,5.35,2.23,2.400,17.51,17.64,0.993,1.544,,,79216.90,sparcs_charge,,,53050.50,49.3,0.6477,0.6697,5.3845,1.513,3.487,30,27.5,2,unmapped_facility,,False,3.700,No Different Than the National Rate,5.200,No Different Than the National Rate,1.000
SOUTH BROOKLYN HEALTH,,1294,Kings,Brooklyn,112,2022,2024,3,89,38,51,1.382,4.48,2.19,2.047,14.61,17.00,0.859,1.326,,,90132.25,sparcs_charge,,,53050.50,69.9,0.7541,0.5886,4.4998,1.506,3.394,31,25.0,2,unmapped_facility,,False,,Number of Cases Too Small,,Number of Cases Too Small,2.000
ST JOHNS EPISCOPAL HOSPITAL SO SHORE,St Johns Episcopal Hospital,1635,Queens,Queens,116,2022,2024,3,63,25,38,1.222,4.79,2.15,2.228,41.27,16.77,2.462,2.342,,26310.85,26310.85,mrf_negotiated,MS-DRG,20,51393.61,-48.8,0.4270,1.9533,4.1589,1.481,1.776,32,22.5,2,complete,fuzzy,True,6.500,No Different Than the National Rate,6.700,No Different Than the National Rate,1.000
SBH HEALTH SYSTEM,St. Barnabas Hospital,1176,Bronx,Bronx,104,2022,2024,3,42,14,28,1.310,3.88,2.06,1.883,33.33,15.59,2.138,2.006,,39098.05,39098.05,mrf_negotiated,MS-DRG,16,51393.61,-23.9,0.4985,1.3145,3.7612,1.229,1.875,33,20.0,1,complete,exact,True,,Number of Cases Too Small,,Number of Cases Too Small,1.000
ELMHURST HOSPITAL CENTER,,1626,Queens,Queens,113,2022,2024,3,93,28,65,1.269,2.71,2.12,1.277,35.48,16.32,2.174,1.666,,,73852.07,sparcs_charge,,,53050.50,39.2,0.6002,0.7183,4.5433,1.176,2.727,34,17.5,1,unmapped_facility,,False,3.600,No Different Than the National Rate,5.300,No Different Than the National Rate,2.000
MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,,1453,Manhattan,Manhattan,112,2022,2024,3,52,37,15,2.481,6.08,3.64,1.670,25.49,29.61,0.861,1.199,,,128233.28,sparcs_charge,,,53050.50,141.7,0.8340,0.4137,3.9703,1.143,3.311,35,15.0,1,unmapped_facility,,False,,,,,
RICHMOND UNIVERSITY MEDICAL CENTER,,1738,Richmond,Staten Island,103,2022,2024,3,88,24,64,1.273,3.39,2.13,1.594,56.82,16.24,3.498,2.361,,,40287.06,sparcs_charge,,,53050.50,-24.1,0.4235,1.3168,4.4886,1.060,1.901,36,12.5,1,unmapped_facility,,False,5.200,No Different Than the National Rate,7.500,No Different Than the National Rate,1.000
WYCKOFF HEIGHTS MEDICAL CENTER,,1318,Kings,Brooklyn,112,2022,2024,3,93,18,75,1.269,2.56,2.13,1.203,49.46,16.61,2.978,1.893,,,69695.78,sparcs_charge,,,53050.50,31.4,0.5283,0.7612,4.5433,0.965,2.400,37,10.0,1,unmapped_facility,,False,3.600,No Different Than the National Rate,5.200,No Different Than the National Rate,2.000
INTERFAITH MEDICAL CENTER,,1309,Kings,Brooklyn,112,2022,2024,3,118,39,79,1.381,3.67,2.25,1.632,77.97,17.67,4.413,2.683,,,44608.65,sparcs_charge,,,53050.50,-15.9,0.3727,1.1892,4.7791,0.790,1.781,38,7.5,1,unmapped_facility,,False,,,,,
QUEENS HOSPITAL CENTER,,1633,Queens,Queens,114,2022,2024,3,40,10,30,1.350,5.25,2.20,2.386,37.50,17.47,2.147,2.263,,,81196.08,sparcs_charge,,,53050.50,53.1,0.4419,0.6534,3.7136,0.474,1.641,39,5.0,1,unmapped_facility,,False,,,,,
MOUNT SINAI BROOKLYN,,1324,Kings,Brooklyn,112,2022,2024,3,15,1,14,1.467,3.67,2.34,1.566,46.67,19.10,2.443,1.956,,,111480.02,sparcs_charge,,,53050.50,110.1,0.5112,0.4759,2.7726,0.345,1.417,40,2.5,1,unmapped_facility,,False,,,,,
BROOKDALE HOSPITAL MEDICAL CENTER,,1286,Kings,Brooklyn,112,2022,2024,3,10,1,9,1.300,4.10,2.06,1.995,50.00,15.59,3.207,2.529,,,75310.50,sparcs_charge,,,53050.50,42.0,0.3954,0.7044,2.3979,0.264,0.948,41,0.0,1,unmapped_facility,,False,4.600,No Different Than the National Rate,5.600,No Different Than the National Rate,1.000
