pfi_number,facility_name,procedure,procedure_label,borough,primary_zip3,patient_volume,avg_severity,observed_avg_los,expected_avg_los,oe_ratio_los,observed_adverse_pct,oe_ratio_adverse,clinical_oe,facility_procedure_cost,cost_basis,market_median_cost,pct_vs_market_median,value_index,value_rank,star_rating
1453,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,hip,Hip replacement,Manhattan,112,37,2.595,6.19,3.86,1.603,22.22,0.727,1.080,131708.26,sparcs_charge,52133.61,152.6,1.234,25,2
1294,SOUTH BROOKLYN HEALTH,hip,Hip replacement,Brooklyn,112,38,1.447,4.37,2.23,1.955,13.16,0.774,1.230,131773.22,sparcs_charge,52133.61,152.8,0.958,26,2
1305,MAIMONIDES MEDICAL CENTER,hip,Hip replacement,Brooklyn,112,76,1.105,1.80,1.88,0.957,31.58,2.364,1.504,105526.95,sparcs_charge,52133.61,102.4,0.949,27,2
1629,JAMAICA HOSPITAL MEDICAL CENTER,hip,Hip replacement,Queens,114,38,1.211,3.21,2.02,1.591,47.37,3.226,2.265,39404.32,sparcs_charge,52133.61,-24.4,0.945,28,2
1626,ELMHURST HOSPITAL CENTER,hip,Hip replacement,Queens,113,28,1.357,2.93,2.10,1.392,28.57,1.853,1.606,82372.68,sparcs_charge,52133.61,58.0,0.826,29,2
1628,FLUSHING HOSPITAL MEDICAL CENTER,hip,Hip replacement,Queens,113,18,1.222,2.67,2.00,1.333,50.00,3.608,2.193,38748.64,sparcs_charge,52133.61,-25.7,0.824,30,2
1458,NEW YORK-PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,hip,Hip replacement,Manhattan,100,51,1.725,3.39,2.63,1.291,27.45,1.364,1.327,145290.15,sparcs_charge,52133.61,178.7,0.805,31,2
1469,MOUNT SINAI MORNINGSIDE,hip,Hip replacement,Manhattan,100,10,1.700,3.10,2.52,1.229,30.00,1.626,1.414,77958.73,sparcs_charge,52133.61,49.5,0.802,32,2
1318,WYCKOFF HEIGHTS MEDICAL CENTER,hip,Hip replacement,Brooklyn,112,18,1.222,2.56,1.97,1.300,38.89,2.721,1.881,68074.70,sparcs_charge,52133.61,30.6,0.637,33,1
1288,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,hip,Hip replacement,Brooklyn,112,77,1.883,3.57,2.62,1.362,70.13,3.360,2.139,87444.57,sparcs_charge,52133.61,67.7,0.568,34,1
1738,RICHMOND UNIVERSITY MEDICAL CENTER,hip,Hip replacement,Staten Island,103,24,1.500,4.79,2.27,2.108,62.50,3.629,2.766,40123.94,sparcs_charge,52133.61,-23.0,0.547,35,1
1309,INTERFAITH MEDICAL CENTER,hip,Hip replacement,Brooklyn,112,39,1.436,3.38,2.14,1.582,76.92,4.673,2.719,49353.79,sparcs_charge,52133.61,-5.3,0.527,36,1
1633,QUEENS HOSPITAL CENTER,hip,Hip replacement,Queens,114,10,1.500,4.30,2.26,1.903,40.00,2.209,2.050,90295.24,sparcs_charge,52133.61,73.2,0.329,37,1
1169,MONTEFIORE MEDICAL CENTER - HENRY & LUCY MOSES DIV,hip,Hip replacement,Bronx,100,5,1.800,2.40,2.67,0.897,0.00,0.000,0.897,378709.45,sparcs_charge,52133.61,626.4,0.307,38,1
1635,ST JOHNS EPISCOPAL HOSPITAL SO SHORE,hip,Hip replacement,Queens,116,25,1.200,4.00,2.06,1.937,44.00,2.873,2.359,242559.15,sparcs_charge,52133.61,365.3,0.126,39,1
1176,SBH HEALTH SYSTEM,hip,Hip replacement,Bronx,104,14,1.357,6.79,2.01,3.369,57.14,3.907,3.628,86130.39,sparcs_charge,52133.61,65.2,0.125,40,1
1438,BELLEVUE HOSPITAL CENTER,knee,Knee replacement,Manhattan,112,150,1.207,2.15,2.11,1.018,0.67,0.040,0.203,51078.39,sparcs_charge,50028.51,2.1,119.250,1,5
1454,METROPOLITAN HOSPITAL CENTER,knee,Knee replacement,Manhattan,100,173,1.162,1.77,2.08,0.853,2.31,0.142,0.349,34514.19,sparcs_charge,50028.51,-31.0,61.396,2,5
1639,MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,knee,Knee replacement,Queens,113,239,1.816,1.79,2.49,0.722,7.56,0.368,0.516,40688.62,sparcs_charge,50028.51,-18.7,25.309,3,5
1446,NYU LANGONE ORTHOPEDIC HOSPITAL,knee,Knee replacement,Manhattan,112,2528,1.500,1.73,2.33,0.745,8.67,0.458,0.584,38905.08,mrf_negotiated,38905.08,0.0,22.974,4,5
1456,MOUNT SINAI HOSPITAL,knee,Knee replacement,Manhattan,100,321,1.657,2.15,2.43,0.884,5.30,0.266,0.485,59387.93,sparcs_charge,50028.51,18.7,20.680,5,5
1447,HOSPITAL FOR SPECIAL SURGERY,knee,Knee replacement,Manhattan,100,5526,1.343,2.14,2.22,0.965,8.74,0.496,0.692,56595.58,mrf_negotiated,38905.08,45.5,12.371,6,5
1737,STATEN ISLAND UNIVERSITY HOSPITAL PRINCE'S BAY,knee,Knee replacement,Staten Island,103,383,1.201,4.01,2.05,1.954,5.22,0.333,0.806,50028.51,sparcs_charge,50028.51,0.0,9.160,7,5
1464,NEW YORK-PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,knee,Knee replacement,Manhattan,100,554,1.523,2.36,2.41,0.980,11.37,0.576,0.751,76706.74,sparcs_charge,50028.51,53.3,7.307,8,5
