camera_id,name,latitude,longitude,area,is_online,image_url,video_url,corridor,in_region,match_reason
9eca011a-81b1-4e4a-b44a-4ee2bc8affff,Queens Midtown Tunnel Exit @ 37 St,40.747325,-73.976079,Manhattan,True,https://webcams.nyctmc.org/api/cameras/9eca011a-81b1-4e4a-b44a-4ee2bc8affff/image,,Queens-Midtown Tunnel,True,inside polygon
0952329e-6b6f-4286-b5e3-b682eae94e52,Broadway @ Chambers St,40.714177,-74.006307,Manhattan,False,https://webcams.nyctmc.org/api/cameras/0952329e-6b6f-4286-b5e3-b682eae94e52/image,,,True,inside polygon
5352e130-4668-4be5-a7b9-9e1ce4ea6d4c,3 Ave @ 42 St,40.7507631595424,-73.9744615986273,Manhattan,True,https://webcams.nyctmc.org/api/cameras/5352e130-4668-4be5-a7b9-9e1ce4ea6d4c/image,,East Side avenues,True,inside polygon
444aa32f-8102-4ca6-a7f8-5c9fd8fd5571,Houston St @ Christies St,40.723591,-73.991117,Manhattan,True,https://webcams.nyctmc.org/api/cameras/444aa32f-8102-4ca6-a7f8-5c9fd8fd5571/image,,,True,inside polygon
2589c0d6-c389-4861-b812-4ae68f560eba,46 St Bet. 5 Ave & Madison Ave,40.7557483,-73.9784187,Manhattan,True,https://webcams.nyctmc.org/api/cameras/2589c0d6-c389-4861-b812-4ae68f560eba/image,,East Side avenues,True,inside polygon
5f9ef54f-f3ac-4ce9-ad39-2e483467867a,WBB - 5 NOR-5 @ Delancey St North/FDR,40.715043,-73.976486,Manhattan,True,https://webcams.nyctmc.org/api/cameras/5f9ef54f-f3ac-4ce9-ad39-2e483467867a/image,,FDR Drive,True,inside polygon
8d7e94a5-7a81-4e92-8171-9f6c0f0ca7bf,FDR @ E 53 St,40.754739,-73.96219,Manhattan,True,https://webcams.nyctmc.org/api/cameras/8d7e94a5-7a81-4e92-8171-9f6c0f0ca7bf/image,,FDR Drive,True,inside polygon
a356e2c6-7d95-4d93-85c1-da3d05485d8c,MADISON @ 34 ST,40.7477755134971,-73.9829511142234,Manhattan,True,https://webcams.nyctmc.org/api/cameras/a356e2c6-7d95-4d93-85c1-da3d05485d8c/image,,,True,inside polygon
63bf5db0-582d-4482-ad51-52338c7f9906,3 Ave @ 14 St,40.733275,-73.987279,Manhattan,True,https://webcams.nyctmc.org/api/cameras/63bf5db0-582d-4482-ad51-52338c7f9906/image,,East Side avenues,True,inside polygon
62b3062d-542f-40f1-86ec-206710e789b6,3 Ave @ 57 St,40.760252895987,-73.967542473241,Manhattan,True,https://webcams.nyctmc.org/api/cameras/62b3062d-542f-40f1-86ec-206710e789b6/image,,East Side avenues,True,inside polygon
4602d793-d397-40c8-9748-de0d3dcddcfb,QBB LL CM @ W Channel,40.757784,-73.956813,Manhattan,True,https://webcams.nyctmc.org/api/cameras/4602d793-d397-40c8-9748-de0d3dcddcfb/image,,Queensboro Bridge,True,inside polygon
05468f62-4092-4ff5-9bb6-0f70e56ff544,2 Ave @ 49 St,40.75426,-73.968991,Manhattan,True,https://webcams.nyctmc.org/api/cameras/05468f62-4092-4ff5-9bb6-0f70e56ff544/image,,East Side avenues,True,inside polygon
606916f2-cd00-4893-9d2b-4c9f9d6d974f,AVE C @ 18 St,40.7316,-73.9742,Manhattan,True,https://webcams.nyctmc.org/api/cameras/606916f2-cd00-4893-9d2b-4c9f9d6d974f/image,,,True,inside polygon
cd949f21-54b2-4d11-8aae-4ffba8654271,5 Ave @ E 60 St,40.764959,-73.972578,Manhattan,True,https://webcams.nyctmc.org/api/cameras/cd949f21-54b2-4d11-8aae-4ffba8654271/image,,,True,inside polygon
8933100a-8229-42fe-b4b2-265db410d7ae,5 Ave @ 46 St,40.756036,-73.979014,Manhattan,True,https://webcams.nyctmc.org/api/cameras/8933100a-8229-42fe-b4b2-265db410d7ae/image,,,True,inside polygon
cd229284-a743-4ac4-9430-366f11e68d6c,Irving Pl @ 14 St,40.733984,-73.988693,Manhattan,True,https://webcams.nyctmc.org/api/cameras/cd229284-a743-4ac4-9430-366f11e68d6c/image,,,True,inside polygon
0f3b6031-fe36-43df-b2c7-6120e0580309,Brooklyn Bridge - Ped Walk Way,40.709046,-74.000735,Manhattan,True,https://webcams.nyctmc.org/api/cameras/0f3b6031-fe36-43df-b2c7-6120e0580309/image,,Brooklyn Bridge,True,inside polygon
9e3e26ae-d49f-4f64-ba99-113b779c25a2,Park Ave @ 53 St,40.759067,-73.97261,Manhattan,True,https://webcams.nyctmc.org/api/cameras/9e3e26ae-d49f-4f64-ba99-113b779c25a2/image,,East Side avenues,True,inside polygon
03a8a2da-3ac2-45aa-a5ba-4ff7d1ecbd22,5 Ave @ 47 St,40.756682,-73.978578,Manhattan,True,https://webcams.nyctmc.org/api/cameras/03a8a2da-3ac2-45aa-a5ba-4ff7d1ecbd22/image,,,True,inside polygon
074b4e06-5090-47a5-b672-8b15780c9255,2 Ave @ 79 St,40.773298,-73.955022,Manhattan,True,https://webcams.nyctmc.org/api/cameras/074b4e06-5090-47a5-b672-8b15780c9255/image,,East Side avenues,True,inside polygon
ce81bdbd-967b-4ad0-ab40-c4628bb59560,Park Ave @ 106 St,40.79294,-73.9479,Manhattan,True,https://webcams.nyctmc.org/api/cameras/ce81bdbd-967b-4ad0-ab40-c4628bb59560/image,,East Side avenues,True,inside polygon
cdfc2dbe-7ce3-4775-ab7a-8440a9828358,Worth Street @ Bowery,40.713578,-73.998542,Manhattan,True,https://webcams.nyctmc.org/api/cameras/cdfc2dbe-7ce3-4775-ab7a-8440a9828358/image,,,True,inside polygon
e278de5c-4cfa-46e7-aa85-59512db61f0d,FDR Dr @ 23 St,40.7348035082712,-73.9746809005737,Manhattan,True,https://webcams.nyctmc.org/api/cameras/e278de5c-4cfa-46e7-aa85-59512db61f0d/image,,FDR Drive,True,inside polygon
d67e45e9-034f-4bd9-9bc3-12d07a12af48,3 Ave @ 114 St,40.7966,-73.9408,Manhattan,True,https://webcams.nyctmc.org/api/cameras/d67e45e9-034f-4bd9-9bc3-12d07a12af48/image,,East Side avenues,True,inside polygon
