link_id,link_name,speed_mph,travel_time_seconds,status,data_as_of_local,age_minutes,lag_minutes,is_stale,borough,owner,length_miles,sensor_length_miles,length_is_corroborated,implied_speed_mph,latitude,longitude,point_count,corridor,road_class,in_region,match_reason,observed_at_utc,reference_speed_mph,reference_source,congestion_ratio,congestion_level,delay_seconds_vs_free_flow,nearest_camera_id,nearest_camera_name,nearest_camera_miles,nearest_camera_image_url
4616342,BKN Bridge Manhattan Side - FDR N Catherine Slip,6.83,376.0,-101,2026-09-17T22:27:11.000,214.4,3.9,False,Manhattan,NYC_DOT_LIC,0.2001,0.7134,False,1.9,40.70886,-73.997751,6,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00,50.0,assumed for highway,0.137,severe,,1e627100-9bce-4e78-bcd3-736344a2236c,FDR Dr @ Brooklyn Bridge Exit NB,0.05,https://webcams.nyctmc.org/api/cameras/1e627100-9bce-4e78-bcd3-736344a2236c/image
4616328,FDR N Catherine Slip - 25th St,8.07,1217.0,-101,2026-09-17T22:27:11.000,214.4,3.9,False,Manhattan,NYC_DOT_LIC,4.7377,2.7281,True,14.0,40.7182305,-73.97497,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00,50.0,assumed for highway,0.161,severe,1772.4,c75873dc-16d0-4e9c-b5b5-1c6ede0b0b63,FDR @ E 6 St,0.23,https://webcams.nyctmc.org/api/cameras/c75873dc-16d0-4e9c-b5b5-1c6ede0b0b63/image
4616329,FDR N 25th - 63rd St,9.94,680.0,0,2026-09-17T22:28:03.000,213.5,3.0,False,Manhattan,NYC_DOT_LIC,0.7315,1.8776,False,3.9,40.7423406,-73.97229,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00,50.0,assumed for highway,0.199,severe,,04ffc69c-92a7-4c02-aa18-2b16e7ba81f2,FDR Dr @ 36 St,0.16,https://webcams.nyctmc.org/api/cameras/04ffc69c-92a7-4c02-aa18-2b16e7ba81f2/image
4616333,FDR S 25th St - Catherine Slip,25.47,398.0,0,2026-09-17T22:27:11.000,214.4,3.9,False,Manhattan,NYC_DOT_LIC,0.5443,2.8159,False,4.9,40.7327304,-73.974281,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00,50.0,assumed for highway,0.509,heavy,,606916f2-cd00-4893-9d2b-4c9f9d6d974f,AVE C @ 18 St,0.08,https://webcams.nyctmc.org/api/cameras/606916f2-cd00-4893-9d2b-4c9f9d6d974f/image
4616341,FDR S Catherine Slip - BKN Bridge Manhattan Side,25.47,103.0,0,2026-09-17T22:27:11.000,214.4,3.9,False,Manhattan,NYC_DOT_LIC,0.1981,0.7287,False,6.9,40.70861,-73.99827,7,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00,50.0,assumed for highway,0.509,heavy,,1e627100-9bce-4e78-bcd3-736344a2236c,FDR Dr @ Brooklyn Bridge Exit NB,0.02,https://webcams.nyctmc.org/api/cameras/1e627100-9bce-4e78-bcd3-736344a2236c/image
4616332,FDR S 63rd - 25th St,39.76,172.0,0,2026-09-17T22:28:03.000,213.5,3.0,False,Manhattan,NYC_DOT_LIC,0.9616,1.8996,True,20.1,40.7548505,-73.9623,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00,50.0,assumed for highway,0.795,moderate,17.8,8d7e94a5-7a81-4e92-8171-9f6c0f0ca7bf,FDR @ E 53 St,0.01,https://webcams.nyctmc.org/api/cameras/8d7e94a5-7a81-4e92-8171-9f6c0f0ca7bf/image
