corridor,links,miles_covered,mean_speed_mph,congestion_ratio,congestion_level,slowest_link,slowest_speed_mph,total_delay_seconds
FDR Drive,6,7.37,19.2,0.385,severe,FDR S 63rd - 25th St,13.04,887.2
Queens-Midtown Tunnel,2,2.31,30.5,0.871,free flow,QMT E Manhattan Side - Toll Plaza,29.2,35.6
