link_id,link_name,speed_mph,travel_time_seconds,status,data_as_of_local,age_minutes,lag_minutes,is_stale,borough,owner,length_miles,sensor_length_miles,length_is_corroborated,implied_speed_mph,latitude,longitude,point_count,corridor,road_class,in_region,match_reason,observed_at_utc
4456452,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET,0.0,0.0,-101,2026-09-17T22:28:03.000,151.4,3.1,False,Manhattan,MTA Bridges & Tunnels,1.7717,,False,,40.80151,-73.93066,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4616329,FDR N 25th - 63rd St,9.94,680.0,0,2026-09-17T22:28:03.000,151.4,3.1,False,Manhattan,NYC_DOT_LIC,0.7315,1.8776,False,3.9,40.7423406,-73.97229,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4616332,FDR S 63rd - 25th St,39.76,172.0,0,2026-09-17T22:28:03.000,151.4,3.1,False,Manhattan,NYC_DOT_LIC,0.9616,1.8996,True,20.1,40.7548505,-73.9623,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4456450,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,0.0,0.0,-101,2026-09-17T22:28:00.000,151.4,3.1,False,Manhattan,MTA Bridges & Tunnels,9.9847,,False,,40.80143,-73.93084,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4456510,QMT W Toll Plaza - Manhattan Side,0.0,0.0,-101,2026-09-17T22:28:00.000,151.4,3.1,False,Queens,NYC_DOT_LIC,1.1948,,False,,40.745436,-73.96631001,9,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4456511,QMT E Manhattan Side - Toll Plaza,0.0,0.0,-101,2026-09-17T22:28:00.000,151.4,3.1,False,Manhattan,NYC_DOT_LIC,1.1129,,False,,40.745365,-73.96643,11,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4616328,FDR N Catherine Slip - 25th St,8.07,1217.0,-101,2026-09-17T22:27:11.000,152.2,3.9,False,Manhattan,NYC_DOT_LIC,4.7377,2.7281,True,14.0,40.7182305,-73.97497,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4616333,FDR S 25th St - Catherine Slip,25.47,398.0,0,2026-09-17T22:27:11.000,152.2,3.9,False,Manhattan,NYC_DOT_LIC,0.5443,2.8159,False,4.9,40.7327304,-73.974281,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4616341,FDR S Catherine Slip - BKN Bridge Manhattan Side,25.47,103.0,0,2026-09-17T22:27:11.000,152.2,3.9,False,Manhattan,NYC_DOT_LIC,0.1981,0.7287,False,6.9,40.70861,-73.99827,7,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4616342,BKN Bridge Manhattan Side - FDR N Catherine Slip,6.83,376.0,-101,2026-09-17T22:27:11.000,152.2,3.9,False,Manhattan,NYC_DOT_LIC,0.2001,0.7134,False,1.9,40.70886,-73.997751,6,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
