link_id,link_name,speed_mph,travel_time_seconds,status,data_as_of_local,age_minutes,lag_minutes,is_stale,borough,owner,length_miles,implied_speed_mph,latitude,longitude,point_count,corridor,road_class,in_region,match_reason,observed_at_utc
4616329,FDR N 25th - 63rd St,9.94,680.0,0,2026-09-17T22:28:03.000,151.4,3.1,False,Manhattan,NYC_DOT_LIC,0.7315,3.9,40.7423406,-73.97229,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4616332,FDR S 63rd - 25th St,39.76,172.0,0,2026-09-17T22:28:03.000,151.4,3.1,False,Manhattan,NYC_DOT_LIC,0.9616,20.1,40.7548505,-73.9623,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4456450,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,0.0,0.0,-101,2026-09-17T22:28:00.000,151.4,3.1,False,Manhattan,MTA Bridges & Tunnels,9.9847,,40.80143,-73.93084,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4456510,QMT W Toll Plaza - Manhattan Side,0.0,0.0,-101,2026-09-17T22:28:00.000,151.4,3.1,False,Queens,NYC_DOT_LIC,1.1948,,40.745436,-73.96631001,9,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4456511,QMT E Manhattan Side - Toll Plaza,0.0,0.0,-101,2026-09-17T22:28:00.000,151.4,3.1,False,Manhattan,NYC_DOT_LIC,1.1129,,40.745365,-73.96643,11,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4616328,FDR N Catherine Slip - 25th St,8.07,1217.0,-101,2026-09-17T22:27:11.000,152.2,3.9,False,Manhattan,NYC_DOT_LIC,4.7377,14.0,40.7182305,-73.97497,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4616333,FDR S 25th St - Catherine Slip,25.47,398.0,0,2026-09-17T22:27:11.000,152.2,3.9,False,Manhattan,NYC_DOT_LIC,0.5443,4.9,40.7327304,-73.974281,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4616341,FDR S Catherine Slip - BKN Bridge Manhattan Side,25.47,103.0,0,2026-09-17T22:27:11.000,152.2,3.9,False,Manhattan,NYC_DOT_LIC,0.1981,6.9,40.70861,-73.99827,7,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4616342,BKN Bridge Manhattan Side - FDR N Catherine Slip,6.83,376.0,-101,2026-09-17T22:27:11.000,152.2,3.9,False,Manhattan,NYC_DOT_LIC,0.2001,1.9,40.70886,-73.997751,6,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T04:59:25+00:00
4456452,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET,0.0,0.0,-101,2026-09-17T23:03:03.000,158.5,3.1,False,Manhattan,MTA Bridges & Tunnels,1.7717,,40.80151,-73.93066,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T05:41:30+00:00
4616329,FDR N 25th - 63rd St,18.01,380.0,0,2026-09-17T23:03:03.000,158.5,3.1,False,Manhattan,NYC_DOT_LIC,0.7315,6.9,40.7423406,-73.97229,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T05:41:30+00:00
4616332,FDR S 63rd - 25th St,42.87,159.0,0,2026-09-17T23:03:03.000,158.5,3.1,False,Manhattan,NYC_DOT_LIC,0.9616,21.8,40.7548505,-73.9623,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T05:41:30+00:00
4456450,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,0.0,0.0,-101,2026-09-17T23:03:00.000,158.5,3.1,False,Manhattan,MTA Bridges & Tunnels,9.9847,,40.80143,-73.93084,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T05:41:30+00:00
4616328,FDR N Catherine Slip - 25th St,1.86,5159.0,-101,2026-09-17T23:02:12.000,159.3,3.9,False,Manhattan,NYC_DOT_LIC,4.7377,3.3,40.7182305,-73.97497,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T05:41:30+00:00
4616333,FDR S 25th St - Catherine Slip,34.79,293.0,0,2026-09-17T23:02:12.000,159.3,3.9,False,Manhattan,NYC_DOT_LIC,0.5443,6.7,40.7327304,-73.974281,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T05:41:30+00:00
4616341,FDR S Catherine Slip - BKN Bridge Manhattan Side,34.79,76.0,0,2026-09-17T23:02:12.000,159.3,3.9,False,Manhattan,NYC_DOT_LIC,0.1981,9.4,40.70861,-73.99827,7,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T05:41:30+00:00
4616342,BKN Bridge Manhattan Side - FDR N Catherine Slip,1.86,1319.0,-101,2026-09-17T23:02:12.000,159.3,3.9,False,Manhattan,NYC_DOT_LIC,0.2001,0.5,40.70886,-73.997751,6,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T05:41:30+00:00
4456510,QMT W Toll Plaza - Manhattan Side,0.0,0.0,-101,2026-09-17T23:02:01.000,159.5,4.1,False,Queens,NYC_DOT_LIC,1.1948,,40.745436,-73.96631001,9,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T05:41:30+00:00
4456511,QMT E Manhattan Side - Toll Plaza,0.0,0.0,-101,2026-09-17T23:02:01.000,159.5,4.1,False,Manhattan,NYC_DOT_LIC,1.1129,,40.745365,-73.96643,11,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T05:41:30+00:00
4456452,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET,0.0,0.0,-101,2026-09-17T22:28:03.000,213.5,3.0,False,Manhattan,MTA Bridges & Tunnels,1.7717,,40.80151,-73.93066,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00
4616329,FDR N 25th - 63rd St,9.94,680.0,0,2026-09-17T22:28:03.000,213.5,3.0,False,Manhattan,NYC_DOT_LIC,0.7315,3.9,40.7423406,-73.97229,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00
4616332,FDR S 63rd - 25th St,39.76,172.0,0,2026-09-17T22:28:03.000,213.5,3.0,False,Manhattan,NYC_DOT_LIC,0.9616,20.1,40.7548505,-73.9623,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00
4456450,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,0.0,0.0,-101,2026-09-17T22:28:00.000,213.6,3.1,False,Manhattan,MTA Bridges & Tunnels,9.9847,,40.80143,-73.93084,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00
4456510,QMT W Toll Plaza - Manhattan Side,0.0,0.0,-101,2026-09-17T22:28:00.000,213.6,3.1,False,Queens,NYC_DOT_LIC,1.1948,,40.745436,-73.96631001,9,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T06:01:34+00:00
4456511,QMT E Manhattan Side - Toll Plaza,0.0,0.0,-101,2026-09-17T22:28:00.000,213.6,3.1,False,Manhattan,NYC_DOT_LIC,1.1129,,40.745365,-73.96643,11,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T06:01:34+00:00
4616328,FDR N Catherine Slip - 25th St,8.07,1217.0,-101,2026-09-17T22:27:11.000,214.4,3.9,False,Manhattan,NYC_DOT_LIC,4.7377,14.0,40.7182305,-73.97497,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00
4616333,FDR S 25th St - Catherine Slip,25.47,398.0,0,2026-09-17T22:27:11.000,214.4,3.9,False,Manhattan,NYC_DOT_LIC,0.5443,4.9,40.7327304,-73.974281,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00
4616341,FDR S Catherine Slip - BKN Bridge Manhattan Side,25.47,103.0,0,2026-09-17T22:27:11.000,214.4,3.9,False,Manhattan,NYC_DOT_LIC,0.1981,6.9,40.70861,-73.99827,7,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00
4616342,BKN Bridge Manhattan Side - FDR N Catherine Slip,6.83,376.0,-101,2026-09-17T22:27:11.000,214.4,3.9,False,Manhattan,NYC_DOT_LIC,0.2001,1.9,40.70886,-73.997751,6,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:01:34+00:00
4456452,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET,0.0,0.0,-101,2026-09-17T23:03:03.000,198.6,3.1,False,Manhattan,MTA Bridges & Tunnels,1.7717,,40.80151,-73.93066,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4616329,FDR N 25th - 63rd St,18.01,380.0,0,2026-09-17T23:03:03.000,198.6,3.1,False,Manhattan,NYC_DOT_LIC,0.7315,6.9,40.7423406,-73.97229,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4616332,FDR S 63rd - 25th St,42.87,159.0,0,2026-09-17T23:03:03.000,198.6,3.1,False,Manhattan,NYC_DOT_LIC,0.9616,21.8,40.7548505,-73.9623,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4456450,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,0.0,0.0,-101,2026-09-17T23:03:00.000,198.6,3.1,False,Manhattan,MTA Bridges & Tunnels,9.9847,,40.80143,-73.93084,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4616328,FDR N Catherine Slip - 25th St,1.86,5159.0,-101,2026-09-17T23:02:12.000,199.4,3.9,False,Manhattan,NYC_DOT_LIC,4.7377,3.3,40.7182305,-73.97497,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4616333,FDR S 25th St - Catherine Slip,34.79,293.0,0,2026-09-17T23:02:12.000,199.4,3.9,False,Manhattan,NYC_DOT_LIC,0.5443,6.7,40.7327304,-73.974281,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4616341,FDR S Catherine Slip - BKN Bridge Manhattan Side,34.79,76.0,0,2026-09-17T23:02:12.000,199.4,3.9,False,Manhattan,NYC_DOT_LIC,0.1981,9.4,40.70861,-73.99827,7,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4616342,BKN Bridge Manhattan Side - FDR N Catherine Slip,1.86,1319.0,-101,2026-09-17T23:02:12.000,199.4,3.9,False,Manhattan,NYC_DOT_LIC,0.2001,0.5,40.70886,-73.997751,6,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4456510,QMT W Toll Plaza - Manhattan Side,0.0,0.0,-101,2026-09-17T23:02:01.000,199.6,4.1,False,Queens,NYC_DOT_LIC,1.1948,,40.745436,-73.96631001,9,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4456511,QMT E Manhattan Side - Toll Plaza,0.0,0.0,-101,2026-09-17T23:02:01.000,199.6,4.1,False,Manhattan,NYC_DOT_LIC,1.1129,,40.745365,-73.96643,11,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
